conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,quote_count,reply_count,retweet_count,tweet_url,user_id_str
1946389137655046153,Sat Jul 19 01:58:27 +0000 2025,0,trend day1 sekolah dianterin ayah bikin gue throwback. since day1 gue tk sd smp sma kuliah gue selalu dianter bapak gue belio org pertama dirunah yg selalu antar anak nya sekola di day1. alhamdulillah,1946389137655046153,,,in,0,0,0,https://x.com/x/status/1946389137655046153,1269148245495668738
1946293422987600087,Fri Jul 18 19:38:07 +0000 2025,0,Sekolah Cikal Sambut Baik Gerakan Ayah Antar Anak Perkuat Peran Ayah dalam Pendidikan...https://t.co/Y5eEeQmLtr,1946293422987600087,,,in,0,0,0,https://x.com/x/status/1946293422987600087,817669043792420864
1946192983813935228,Fri Jul 18 12:59:00 +0000 2025,3,Inisiasi Gerakan Ayah Antar Anak di Hari Pertama Sekolah Mendukbangga Wihaji Ingin Atasi Krisis Fatherless #bahlillahadalia #kuningkeren #golkarindonesia #partaigolkar #golkarpedia https://t.co/FPWcbzBdE5,1946192983813935228,,,in,0,0,22,https://x.com/x/status/1946192983813935228,721898354502930433
1946159180177612851,Fri Jul 18 10:44:41 +0000 2025,0,Sekolah Cikal Sambut Baik Gerakan Ayah Antar Anak Perkuat Peran Ayah dalam Pendidikan https://t.co/Y5eEeQmLtr,1946159180177612851,,,in,0,0,0,https://x.com/x/status/1946159180177612851,817669043792420864
1946100393244778574,Fri Jul 18 06:51:05 +0000 2025,0,Ayah Wajib Antar Anak di Hari Pertama Sekolah Perlukah Negara Mengatur Urusan Keluarga? https://t.co/VrbFg6R93N,1946100393244778574,,,in,0,0,0,https://x.com/x/status/1946100393244778574,1547779031126671361
1946092634721644567,Fri Jul 18 06:20:15 +0000 2025,0,Sekolah Cikal Sambut Baik Gerakan Ayah Antar Anak Perkuat Peran Ayah dalam Pendidikan https://t.co/Y5eEeQmdDT,1946092634721644567,,,in,0,0,0,https://x.com/x/status/1946092634721644567,817669043792420864
1946092587087020452,Fri Jul 18 06:20:04 +0000 2025,0,Sekolah Cikal Sambut Baik Gerakan Ayah Antar Anak Perkuat Peran Ayah dalam Pendidikan https://t.co/Y5eEeQmdDT,1946092587087020452,,,in,0,0,0,https://x.com/x/status/1946092587087020452,817669043792420864
1946070863356506468,Fri Jul 18 04:53:44 +0000 2025,0,Sekolah Cikal Sambut Baik Gerakan Ayah Antar Anak Perkuat Peran Ayah dalam Pendidikan https://t.co/Y5eEeQmLtr,1946070863356506468,,,in,0,0,0,https://x.com/x/status/1946070863356506468,817669043792420864
1946070795589161436,Fri Jul 18 04:53:28 +0000 2025,4,Kebijakan pemerintah soal Ayah Antar Anak di Hari Pertama Sekolah belum menyentuh akar persoalan fatherless. https://t.co/uIdPJ9AeA4 https://t.co/5axLRX1V6N,1946070795589161436,https://pbs.twimg.com/media/GwHVElIaIAAqAyg.jpg,,in,0,1,1,https://x.com/x/status/1946070795589161436,1269826533096448001
1945865841612116042,Thu Jul 17 15:19:03 +0000 2025,0,Inisiasi Gerakan Ayah Antar Anak di Hari Pertama Sekolah Mendukbangga Wihaji Ingin Atasi Krisis Fatherless #bahlillahadalia #kuningkeren #golkarindonesia #partaigolkar #golkarpedia https://t.co/kkMjtSYahC https://t.co/aToCg1JR14,1945865841612116042,https://pbs.twimg.com/media/GwEapVUW0AAZl1-.jpg,,in,0,0,4,https://x.com/x/status/1945865841612116042,1563769423248642048
1945804066090889693,Thu Jul 17 12:02:25 +0000 2025,1,Makanya sekarang pemerintah dorong para ayah buat antar anak ke sekolah. Ini sederhana tapi sangat bermakna untuk tumbuh kembang anak-anak karena AYAH HADIR! #emotionaldetox #terapi #hipnoterapi #teknikterapi #psikologi #kesehatanmental #houpeid #selfhealing #mentalhealth,1945816357448401392,,HoupeIndonesia,in,0,1,0,https://x.com/x/status/1945816357448401392,1921805798067642368
1945789323896615306,Thu Jul 17 10:15:00 +0000 2025,1,Gerakan Ayah Mengantar Anak di Hari Pertama Sekolah bikin banyak ayah angkat bicara. Banyak ayah cerita soal manfaatnya tapi nggak semua setuju imbauannya. Kalau kamu setuju nggak? Via @detik_edu https://t.co/Z3KR5PNIRl,1945789323896615306,,,in,1,0,2,https://x.com/x/status/1945789323896615306,69183155
1945785297003839978,Thu Jul 17 09:59:00 +0000 2025,1,Mendukbangga Wihaji Terbitkan Edaran Imbau Para Ayah Antar Anak di Hari Pertama Sekolah #bahlillahadalia #kuningkeren #golkarindonesia #partaigolkar #golkarpedia https://t.co/9DAnYW2uFX,1945785297003839978,,,in,0,0,6,https://x.com/x/status/1945785297003839978,721898354502930433
1945609967995691484,Wed Jul 16 22:22:18 +0000 2025,0,Anak masih mengantuk ortu ini ajak anak duduk cari bangku malam-malam usai pemerintah tertibkan aturan ayah antar anak ke sekolah mulai 14 Juli kemarin https://t.co/K3iyLCZBuY,1945609967995691484,https://pbs.twimg.com/ext_tw_video_thumb/1945609912022605824/pu/img/8VsvMfz4ADAlx6N3.jpg,,in,0,0,1,https://x.com/x/status/1945609967995691484,1857727082
1945440648699461835,Wed Jul 16 11:09:29 +0000 2025,0,ini kemaren ikut program ayah antar anak sekolah ya,1945440648699461835,,,in,0,0,0,https://x.com/x/status/1945440648699461835,2915347314
1945358139911774593,Wed Jul 16 05:41:38 +0000 2025,0,Ayahnya anak anakku seorang pelaut mana bisa ngantar pulangnya saja paling cepet 4 bulan sekali. Resmi! Pemerintah Terbitkan Aturan Ayah Antar Anak ke Sekolah Mulai Hari Ini 14 Juli https://t.co/rT9Fb7Nmed,1945358139911774593,,,in,0,0,0,https://x.com/x/status/1945358139911774593,1918703394560348160
1945315063889309883,Wed Jul 16 02:50:28 +0000 2025,0,Pemerintah Luncurkan Gerakan Ayah Antar Anak Sekolah Ini Aturan dan Tujuannya https://t.co/Cjue9RU21B,1945315063889309883,,,in,0,0,0,https://x.com/x/status/1945315063889309883,817669043792420864
1945268194790265302,Tue Jul 15 23:44:13 +0000 2025,4,morning person ayah antar anak sekolah https://t.co/sRafkHkOwF,1945268194790265302,https://pbs.twimg.com/media/Gv77GgtXcAA9Je_.jpg,,in,0,2,0,https://x.com/x/status/1945268194790265302,1656037556700721152
1945116266190000243,Tue Jul 15 13:40:31 +0000 2025,0,Pemerintah Terbitkan Aturan Ayah Antar Anak ke Sekolah Tere Liye: Semangat Banget Hal yang Bukan Urusannya https://t.co/8XIuJXOMgC,1945116266190000243,,,in,0,0,1,https://x.com/x/status/1945116266190000243,89877164
1945104362172199410,Tue Jul 15 12:53:12 +0000 2025,0,Beri Contoh Ayah Antar Anak Sekolah Bupati Enrekang Malah Disorot karena Tak Pakai Helm https://t.co/6PbQWjra0V,1945104362172199410,,,in,0,0,0,https://x.com/x/status/1945104362172199410,1451237122325696538
1945088625873408269,Tue Jul 15 11:50:41 +0000 2025,3,Apresiasi untuk Ayah yang Antar Anak ke Sekolah Hanyalah Perayaan Simbolis Pemerintah Belum Selesaikan Masalah Utama #Terbaru https://t.co/kM0knZW4kR,1945088625873408269,,,in,0,0,0,https://x.com/x/status/1945088625873408269,2388795571
1945075876539801619,Tue Jul 15 11:00:01 +0000 2025,0,Mendukbangga Wihaji Terbitkan SE Imbau Para Ayah Antar Anak di Hari Pertama Sekolah https://t.co/VPQsivE0dN,1945075876539801619,,,in,0,0,1,https://x.com/x/status/1945075876539801619,1953620240
1945074826915282946,Tue Jul 15 10:55:51 +0000 2025,0,aturan ayah antar anak sekolah spy ayah andil dlm pendidikan anaknya biar gajadi negara fatherless tp rakyat nya malah komen gimana kalo anak gaada ayahnya emg yg bener ganti rakyat,1945074826915282946,,,in,0,0,0,https://x.com/x/status/1945074826915282946,1602211627
1945067547092566156,Tue Jul 15 10:26:55 +0000 2025,10,gerakan ayah antar anak di hari pertama sekolah https://t.co/oEZSAahG6P,1945067547092566156,https://pbs.twimg.com/amplify_video_thumb/1945046652336922625/img/4ya_-4QKG9J045bJ.jpg,,in,0,0,0,https://x.com/x/status/1945067547092566156,1676179386809344001
1945047702083133896,Tue Jul 15 09:08:04 +0000 2025,1,Entah knp menurutku kebijakan ayah antar sekolah anak itu bagus untuk negara fatherless kaya Indonesia,1945047702083133896,,,in,0,0,0,https://x.com/x/status/1945047702083133896,411508758
1945011863596798213,Tue Jul 15 06:45:39 +0000 2025,0,Wali Kota Solok Minta Ayah Antar Anak di Hari Pertama Sekolah https://t.co/ioUDdElfJP,1945011863596798213,,,in,0,0,0,https://x.com/x/status/1945011863596798213,1554428897432719360
1944998315357298744,Tue Jul 15 05:51:49 +0000 2025,0,NEW TIKTOK ALERT‼️ Day In DyLan Life Is Here https://t.co/1vvMM3c67Q Gerakan Ayah antar anak ke sekolah ,1944998315357298744,,,in,0,0,0,https://x.com/x/status/1944998315357298744,152213633
1944994714979049589,Tue Jul 15 05:37:30 +0000 2025,13,Klo si ayah jauh di luar kota apa iyaa harus cari ayah yg bisa anter anak sekolah tiap hari pak? Waahhh....sepertinya saya bakal tersenyum tapi paksu bakalan cemberut donk Ga siii maksudnya baik tp situasional kan? Pi maksi all...met siang smua https://t.co/QlAOhIX8JI https://t.co/syKQeJGVFL,1944994714979049589,https://pbs.twimg.com/media/Gv4CYoLbkAAnBjH.jpg,,in,2,7,3,https://x.com/x/status/1944994714979049589,1428002673815482369
1944966324477735390,Tue Jul 15 03:44:42 +0000 2025,0,Antar Anak ke Sekolah Para Ayah Ingin Punya Ikatan Lebih Kuat https://t.co/lEkwBqcNO1,1944966324477735390,,,in,0,0,0,https://x.com/x/status/1944966324477735390,154102750
1944963108222722524,Tue Jul 15 03:31:55 +0000 2025,0,Pemerintah Terbitkan SE Ayah Antar Anak di Hari Pertama Sekolah ASN Wajib Ikut! https://t.co/oHvfF84lSY https://t.co/fNamZ4mx4D,1944963108222722524,https://pbs.twimg.com/media/Gv3lnqIaMAAIQDh.jpg,,in,0,0,1,https://x.com/x/status/1944963108222722524,41730943
1944953426808582165,Tue Jul 15 02:53:27 +0000 2025,0,Pemerintah Luncurkan Gerakan Ayah Antar Anak Sekolah Ini Aturan dan Tujuannya https://t.co/Cjue9RUzR9,1944953426808582165,,,in,0,0,0,https://x.com/x/status/1944953426808582165,817669043792420864
1944952680193122762,Tue Jul 15 02:50:29 +0000 2025,0,Pemerintah Luncurkan Gerakan Ayah Antar Anak Sekolah Ini Aturan dan Tujuannya https://t.co/Cjue9RUzR9,1944952680193122762,,,in,0,0,0,https://x.com/x/status/1944952680193122762,817669043792420864
1944929049052373183,Tue Jul 15 01:16:34 +0000 2025,0,Hari Pertama Masuk Sekolah Ayah Ikut Gerakan Ayah Antar Anak Sekolah https://t.co/CmzRrC0Cot,1944929049052373183,,,in,0,0,0,https://x.com/x/status/1944929049052373183,1318855369641263105
1944911209192419809,Tue Jul 15 00:05:41 +0000 2025,0,Panduan Lengkap Aturan Ayah Antar Anak Sekolah: Aman Nyaman dan Tepat Waktu https://t.co/lRskLJQpbk,1944911209192419809,,,in,1,0,0,https://x.com/x/status/1944911209192419809,1578222594
1944901025212850543,Mon Jul 14 23:25:13 +0000 2025,0,pemerintah bikin aturan ayah antar anak sekolah mulai hari ini - folkative - https://t.co/5I9VhQBicW,1944901025212850543,https://pbs.twimg.com/media/Gv2tLPHa4AI0XdT.jpg,,in,0,0,0,https://x.com/x/status/1944901025212850543,1311641911371821058
